"Salud, alimentación y entornos saludables",Educación para la transformación,Revolución económica y de justicia para las mujeres,"Construyendo la revolución desde el amor, la sexualidad y la diversidad",Estado,Distrito
Una propuesta más elaborada o complicada pero que se sienta que vale la pena es incrementar el accesos a las carreras de medicina  en las nuevas universidades y en las existentes.,Cuidar sus aumentos de conocimientos y salarios.,Bolsa de trabajo corrspondiente a su nivel escolar y motivar a las mujeres a estudiar.,Que hay más respeto para todos y que se hable más del tema.,CDMX,14
En salud y atención médica pero los medicamentos los están negando o no están disponibles o más bien parece que los entregan de manera selectiva o de plano niegan la atención para tener ISSSTE o IMSS.,"Al igual que en el seguro particular los medicamentos que sean gratuitos o de muy bajo, bajo costo.",Que cada colonia cuente con un lugar de primer contacto para las mujeres incluso para hombres en la atención a la violencia familiar y darle seguimiento en otras instancias.,Enseñar a respetar la homosexualidad de el y la persona según el género. Respetar decisiones lésvico gay.,CDMX,14
Los servidores de la salud niegan atender.,Mayor libertad para el alumno.,Más informaci´øn acerca de los derechos priorizar a las mujeres que pasan por violencia.,Luchar por una atención médica respetuosa inclusiva Hacer consciencia en las y los médicos que la diversidad existe y se respeta y se trata con empatía.,CDMX,14
Presupuesto,Aprender del pasado para de el aprender de el construir un futuro adecuado para las actuales generaciones.,La equidad de género es prioridad.,Respetar la diversidad sexual.,CDMX,14
"Capacitar a los doctores en temas de empatía y atención a los pacientes por que actualmente la mayoría de los doctores en el servicio público son unos y unas patanes, despotas y sin actitud de servicio. Gracias.",Se debe dar más enfoque en culturas ancestrales y lenguas indígenas.,( OFENSIVO Y NO LO REDACTO),Estoy de acuerdo ,CDMX,14
Capacitar al personal médico para que sepan atender bien a los pacientes por que nos tratan peor que a animales.,Trabajar la idea de que es un trabajo en conjunto. Escuela- casa- comunidad.,En el punto que creo que la violencia no tiene sentido en ese sentido creo que debe fortalecer el cuidado de hombres y mujeres.,Educación es la prioridad para sensibilizar a la ciudadanía.,CDMX,14
No se están dando los servicios se está rechazando a la gente muy amablemente esto se tiene que  resalvar.,Donde se pueda que fueran de tiempo completo.,"Iniciar la revisión de medios de comunicación para evitar los programas con tendencia sexual, agresión y machista que se difunden en esos medios.",Escuelas especiales para personas con discapacidades y títulos en terapias.,CDMX,14
Me gustaría que puedan crear políticas públicas para poder tener acceso a la medicinita tradicional en los centros de salud y hospitales.,Que apoyen la educación pública.,Que no haya más violencia contra mujeres.,Ese mismo trato que promueve van con las personas de su diversidad de género.También deberían apoyar a las personas con discapacidad.,CDMX,14
Construir más hospitales con especialidades y retener a doctores especialistas. Surtir medicamentos a todas las instituciones de salud en tiempo y forma para evitar las faltas de medicina.,"Iniciar una revisión de los contenidos televisivos, radiofónicos, periodisticos y en general de los medios de comunicaci´øn de sus contenidos sexuales y misóginos y tendenciosos.",En estados como Jalisco se dice que la mujer debe dedicarse al hogar por lo que no es necesario que estudien.,Por el amor se necesita lo más importante.,CDMX,14
Contratar médicos especialistas y equipo médico.,Horarios más extensos para los niños en escuel con comedor.,"Que en realidad esos fondos para esos propositos y no se desvien, dar atención eficaz y gratuita sin trabas.",Promover la inclusión el respeto hacia todos los géneros.,CDMX,14
Brigadas de salud comunitaria y con medicamentos.,"No me parece que se opine sin conocer los libros de texto pero se enfoca a participar en proyecto y de ahí, aprender a resolver  utilizar el razonamiento y utilizar las asignaturas como matemáticas, biología o lo que se requiera que explicara el profesor.",Tener completa igualdad ante todo.,No están de acuerdo que los hombres y las mujeres eduquen a un niño la psicóloga dice que la formación de un niño debe haber mamá y papá.,CDMX,14
"Que se formen verdaderos comites de salud. En los pueblos, barrios y unidades habitacionales. Que en las colonias se formen comites que promuevan la alimentación sana siempre vinculados con la secretaría de salud.",Que los módulos educativos sean de acuerdo a los mexicanos y no traer modelos de otros paises.,Sanciones o penas mas fuertes para quien violente a las mujeres.,Más respeto,CDMX,14
Que se les eduque en la forma de tratar a adultos mayores y sensibilizar a los asistentes médicos.,"Nos gustaría que se enfatice más en la disciplina con amor, respeto por que se enseña con el ejemplo. Todos reaccionariamos mucho mejor cuando somos tratados con empatía.","Educar a los hombres, como permitir el desarrollo de la mujer.",Respeto a las mujeres y niños,CDMX,14
Tener los medicamentos en farmacias y atención médica. Quitar la burocracia y pagar a los médicos ya que no son bien pagados  y eso hace que no seamos bien atendidos.,No estudiar a guerrilleros en los libros de texto como a los Vázquez y Cabañas Puro Guerrero.,Incrementar guarderías gratuitas de tiempo completo.,Vamos bien con la 4T,CDMX,14
Reafirmar la reforma de salud para que todos sean atendidos y con medicamentos gratuitos.,Espero que lo hagan.,Agradecer a este gobierno ya que es la primera vez en mi vida que somos visibles los más pobres ante un gobierno.,Educar a las personas sobre la tolerancia la aceptación somos varios de la comunidad que no sentimos seguros siendo quienes somos amar no es un pecado ,CDMX,14
Que en los centros de salud haya los servicios que ofrece el gobierno todavía es inconsistente el servicio de médicos.,"Revisión de los contenidos nocivos de las televisoras, radio y periodico, revistas  que confunden la salud misma y emocional  alimenticia de los niños y la sociedad en conjunto.",Derechos de Mujeres.,Brigadas de información.,CDMX,14
Que alla leyes más estrictos con el uso de cubrebocas.,Fortalecer las ideologías políticas independiente a la corriente replantear la forma de transmitir 12 historia a la generación benideras.,Trabajos más remunerados.,Más presupuesto,CDMX,14
Más apoyo a las personas con discapacidad.,"Invertir también en las opciones en línea para estudiar e inducir a los alumnos en asambleas para tomar decisiones sobre cosas como el inmobiliario los uniformes, etc.",Que los comercios y los trabajadores que trabajan en casa tengan seguro.,"A lo mejor más de las formas sería volver a diseñar el prgrama de los uniformes escolares , debido a que las personas LGBTIQ+ sería no formar parte de esta división entre dos géneros que existe en uniformes, al menos que puedan decidir que llevar de ropa.",CDMX,14
Garantizar el respeto de los trabajadores en todo el sector salud hacia los pacientes.,La equidad de géneroes asunto no solo de la escuela es necesario trabajar al interior de la sociedad en campañas y sanciones más severas para erradicar la violencia de género.,Mujeres trabajadoras la última y la consecuencia para comprender a su familia.,Pláticas al respecto.,CDMX,14
Comparar precios por que si abusan del precio en algunas farmacias.,Seguir incentivando la educación usando herramientas como la TV e internet.,"Ayudad a médicos enfermos maestros, policias bomberos ambulancia para estos trabajos y laborar con responsabilidad.",Que lo expresen y el amor sea en privado.,CDMX,14
Les sugiero que lo hagan.,Mayor presupuesto para el INEA y CONAFE,Trabajos más remunerados.,El amor tiene que ser libre como el viento y con mucha responsabilidad.,CDMX,14
Me parece importante enfrentar a las mafias y contubervio entre farmaceuticas y políticas asi como la inercia burocrática que ha generado un país enfermo.,"Dignificación a los maetros, mejor salario y prestaciones y que la educación sea compartida entre maestros, padres y alumnos.",Programas permanentes en prevenir violencia contra las mujeres.,Sin mal informar antes de una edad adecuada.,CDMX,14
Que realmente la distribución de medicamentos se lleve a todos los centros de salud y hospitales y que la atención sea universal para que tengamos una atención digna asesorar a los médicas y médicos.,"Docentes con mejor preparación y vocación, Mayor impulso al deporte.",Que se apoye a los maches en jornadas laborales flexibles.,Respetar a las diversas formas de ser del pueblo.,CDMX,14
"Cada ciudadano, deberá comunicativo de la calidad de servicio. Por bueno o por malo informar, dar su opinión y ser propositivos.",Continuar con un buen sistema educativo y pedir una mejoras en las escuelas.,Creas una ley que obligue a los hombres a tomar talleres con información antes de casarse o formar una familia que lo obligue a respetar la integridad de las mujeres.,"Reconocer como parte importante de nuestra sociedad, pero no otorgales trato preferencial ni condiciones de exepciónsobre otros grupos sociales.",CDMX,14
Recuperar medicinas tradicionales ( herbolaria).,Revisar la nueva escuela mexicana.,Va bien con la 4T,Evitar tener más información en las relaciones en secundar y enseñanzas para no tener abortos tan jóvenes y más información.,CDMX,14
"Hacer encuestas y evaluaciones al sistema de salud (personal, instalaciones y calidad).",Fortalecer los valores en educación formal y el cuidado al medio ambiente con acciones de reciclaje y sin costo.,Hay madres solteras que están enteradas y no tiene apoyo  que se les de más apoyo a madres jóvenes.,Checar en la escuelas el maltrato de los niños de los compañeros y leyes más estrictas.,CDMX,14
Mejorar la atención a los servicios con ser un poco más humanistas.,Tener más escuelas de primer mundo de excelencia académica.,"Aumentar la seguridad, poner cámaras en los chalecos de los policias y monitorearlos para evitar corrupción.",Mientras las leyes sean igualitarias para hombres y mujeres esto no tendría que implementar leyes que etiqueten a sectores minoritarios de la población.,CDMX,14
Que alla leyes mas estrictas con el uso de cubrebocas en transporte público.,Tener pedagogicas profesionales comprometidas con la sociedad.,La aplicación de la ley incentivos para el desarrollo personal debe ser en igualdad de condiciones no inclinar la balanza para un solo lado.,,CDMX,14
Fortalecer a las personas con temas de comedores comunitarios.,Los nuevos libros de texto demandan la participación de los padres y madres que es una carga adicional para ellos con largas horas de trabajo y tranasporte. Como propone la 4aT resolver esto?,No ser machista,,CDMX,14
