Salud alimentación y entornos saludables,Educación para la transformación,Revolución económica y de justicia para las mujeres,Construyendo la revolución desde el amor la sexualidad y la diversidad
"Estoy de acuerdo en que haya un hospital en cada colonia, que se construyan hospitales",De verdad me gustaría que las becas se otorguen a los niños que de verdad las necesitan para que no trunquen sus estudios,Que las mujeres trabajen menos horas pues tenemos más responsabilidad. Que haya una institución para las mujeres,Saber educar correstamente a todas
En verdad supervisar el mantenimiento de las instalaciones y tener más. En la alimentación hay programas que apoyan a cierta población. Yo como mamá soltera he batallado mucho para oertenecer a algún programa y mi alimentación es escasa,Que los profesores estén preparados para poder avanzar y creo que toda la sociedad,"Hacia una cultura no victimista, sino acertiva, cmprensiva y dialogante para resolver problemas de género. - Castigar el uso de los derechos de género de forma engañosa para la censura o control político",Mejor educación sobre el tema
Programa psiquiátrico para los LGBT+ para evitar daño a la sociedad,Educación educada al retomar los valores en las escuelas,Jornada laboral de 6 horas para las mujeres,Solamente respetar a los LGBTIQ+
Que reduzcan los tiempos de espera para solicitar consulta,Implementar el modelo educativo de Finlandia,"Debemos inculcar a los hijos a no ser machistas, que si son hombres no tienen que hacer labores del hogar; somos iguales.",De acuerdo en cada persona sea feliz con quien quiera amarse
Los hábitos alimenticios saludables será lo mejor. Bien por lo iniciado por la 4T,Que se preparen los maestros para que los niños tengan una buena preparación y formación en su vida,Reducir el horario laboral a 6 horas. Mismos derechos laborales a hombres y mujeres (cuidado y educación hijos). Incremento de tiempo de vacaciones. Equidad e igualdad,"El respeto a cualquier ser huano, pero no estoy de acuerdo con el lenguaje ""todes"". Respetar, pero no obligar a usar un lenguaje"
Privatizaron muchos espacios públicos en Atizapán,"Yo tengo una propuesta que consiste en ""Proyectos vida"", que consiste principalmente en la reeducación de la mente para con los animalitos (en su totalidad), pero más enfocado en perros y gatos. Conciencia de practicar el proyecto ""Salud emocional""","Promover los servicios gratuitos como son el divorcio, pensión alimentaria,etc.",
Considerar la salud mental como un tema importante,Fortalcer a las escuelas públicas y reducir los cobros de escuelas públicas,,
"Más y mejores instalaciones, más medicamentos",Tener bien vigilados a los directivos y supervisores porque exigen las cuotas voluntarias y hacer valer el reglamento de sociedad de padres de familia,,
Pero sobre todo un buen trato cuando asistimos a alguna institución,Solicitar promedio de estudiantes,,
Hospitales y escuelas a menor precio,"Más educación, más información, más libros gratuitos y aparatos para ejercicios",,
Que en los hospitales no dejen fuera a la gente cuando van a consulta o a pruebas de laboratorio (siempre tienen afuera que formar. Que abran las puertas a toda hora,"Ojalá el uniforme no fuera obligatorio, porque en los ranchos hay personas muy humildes que no los mandan porque no tienen para todo lo que les piden. Aquí es una cosa, pero en los ranchos es otra",,
El trato en las instalaciones médicas por parte del peronal es muy deplorable y humillante para el derechohabiente,"Mayor oportunidad, no pagos extras, no maltrato. Que haya respeto y atención",,
"Es importante la igualdad y el respeto, sin importar la sexualidad",Es necesaria la buena alimentación de los niños para el mejor aprovechamiento. Propongo que haya desayunos escolares en todas las escuelas públicas,,
Enseñanza desde la escuela para aprender a alimentarse sanamente,Dar oportunidad a los egresados de otras instituciones provadas que pueden ejercer en el área educativa,,
"Más medicinas, más atención médica, más especialistas. Atención a toda persona",Educación y asesoramiento para os adultos mayores que necesitan ocupar lo tecnológico para ingresar a los programas sociales,,
"Aumento de hospitales en las áreas más necesitadas y con todos los equipos necesarios para la atención a los enfermos y, por supiesto, cin el personal y medicinas que sean necesarios","La educación debe ser social involucrando más al ser vivo familia, salud mental",,
"Doctores especialistas, excelente atención y trato. Mayor atención de médicos con ganas de atender",Estar evaluando a profesores de todo tipo de niveles,,
"Hay que vigilar las farmacias, que cada día medicinas más caras",Darles a los niños de las escuelas públicas. Enseñarles los idiomas y taleres para que parendan más lectura para que se socialicen más los niños,,
Que los hospitales nos de una sala de espera para cuidar a nuestros enfermos,"Promover que la educación empieza en la casa, principios y valores, así como respeto y comunicación para apoyar y evitar malas decisiones como el supervisor de escuelas privadas",,
"Orientar a la sociedad sobre la obligación de cualquier hospital, para dar atención inmediata a quien lo solicita. Supervisar las autonomías de la Cruz Roja, ya que los servicios son caros","Que los maestros de prepa no puedan abusar de su autoridad, también los de secundaria y universidad, ya que ponen muchas trabas cuando un joven presenta sus materias",,
"Que se atienda como debe ser con respeto al ser humano, con la atención de especialidad adecuada en el momento exacto","Talleres comunitarios, implementación de programas de desarrollo de la inteligencia. Hacia una escuela universal activa, incluyente, universal, científica, gratuita",,
,Programa de enriquecimiento instrumental (funciones cognitivas),,
,Más becas. Más oportunidades para la suniversidades. Más oportunidad para personas más necesitadas,,
Tomar acciones urgentesn para la seguridad,Intercambio universitario ,Mas apoyo en cuestion de capacitacion,Valorar todos los sexos
Tengas  una clinica en muestra comunidadLos hospitales cuentes con los instrumentos y aparatos necesarios,becas benito juares a mas comunidades,Trabajos dignos,Promover el apoyo formativo
Dar algunas platicar para fomertar todas las proputas,Eradicar el alfabetismo ,Cdena perpetua a las personas que violen,Que exita la inclusion
Mas huertos en pueblo casa y talleres ,La educacion llegue a todos los rincones,Hacer cumplir las leyes,Capacitacion para los valores de casa
sebrar arboles,Reforzar los valores perdidos,Mas apoyo para nosotros las amas de casas,Mayor atencion 
Los centros de salud rurales deben atender las 24 horas,Becas para niños destacados,Combatir el femenicidio,Vivir en paz con las familias
Doctores especializados,"Abrir  espacios para el aula y hablar de autoestima finanzas, fomentar el dialogo",Mas apoyos economicos,Respetar la sexualidad de la persona
Que sean abastecidos los hospitales y clinicas de medicamentos,Escuelas de tiempo completo,Que se de prioridad a la  mujer,Defender los derechos de las mujeres
Tal  vez mas infrestutrura para que sea incrementacion ,Seguridad para las escuelas,Apoyo a madres trabajadoras,No exista el acoso sexual
Mayor capacitacion para los doctores,disminucion de la burocracia educativa ,Salario igualitario y digno,Seguridad de las personas
En los  precios justos,Hacer cumplir la ley general de educacion,Apertura a trabajos con mayor paga,Recuperar los valores de familiaBrindar las misma oportunidades a la comunidad LGBTTIMQ+
Se requiere atencion medica en general y no solo afiliados ,Tener auditoria anual en dichas instituciones,El respeto sea mutuo,Planeacion famililiar
Buenos medicos y enfermeras ,Aumento salarial de los maestros ,Que haiga canasta y despensas,Hacer cumplir las leyes y politicas publicas
Mejhorar el salario nde medicos generales y con especilidades,Apoyar las necesidaes de la comunidad en especial,Tener un trabajo bien pagado y digno,Reconocer la diversidad sexual
Gratificacion a los medicos y mayor calidad,Que siempre agan lo mejor,Tomen mas encuenta a la mujer,Trabajar la inclusion de todos los niveles
Invertir en el campo y maquinaria y bordos por el agua,Educacion gratuita,Fomentar los valores y el respeto en las parejas,La familia el pilar fundamental
Impartir tallere mde inclusiones y respeto para los servidores del sector de salud,Desayunos escolares para todos los alumnos,Pension a las mujeres solas,Respeto para todos
Supervisar la atencion por parte de personal,Mas plazas para los animales,Mas apoyos a mujers de 30 a 64 años,Cursos para padres para mejorar la educacion
Atencion a toda persona,Aumentar la enseñanza poner de prioridad el aprender,Pena de muerte al que matrate a una mujer,Incluir en la educacion de las escuelas 
Mas especialista en los estudios de las diabetes y enfermedades ,Que le paguen a los concerges,No violencia fisica y psicologica o sexual a la mujer,Llevarse bien con la pareja
Mejorar los doctores,Maestros para niños especialisados,Derecho al segfuro social,CONOCER LA SEXUALIDAD SIN TABU
Atencion medica mas eficite,Jubilar o retirar a los maestros de 30 años de servicio,Mator vigilancia,Tener respeto
Para la tala de los arboles,Fomentar la lectura permanente y capacitar  con temas importantes,Reconocer los valores,Mas informacion para los jovenes en sexualidad
Mas afiliados al IMSS,Educacion de calidad ,Tratarnos con respeto a la mujer,No burlarse de las personas
Sembrar  nuestros alimentos ,Promover la no violencia wn las escuelas,No solo prpuestas que se lleven acabo,Que no haiga tan descriminacion
Crea el IMSS BIENESTAR,Educacion intercultural,Leyes mas severas para la violencia encontra de la mujer,"Que se respete los generos como piel, sexo, etc."
La dotora de mi comunidad me trate bien,Aumento de presupueto a las escuelas,Valorar y respetar a las mujeres,No apoyo alos LGBTQ+
Jornadas medicas en las comunidades,Capacitacion a los adultos sobre las redes sociales,Talleres para mujeres ,
Empatia con los pancientes,Que siga el programa de la escuela es nuestra,Cursos de defensa personal a la mujer,
Mas formacias a la poblacion,Dar  apoyo a madres de alumnos,Evitar la violencia en casa,
Mas personal en los hospitales,Equipar las escuelas con equipo de laboratorio y computo,,
Mas inversion economica en los centros medicos,Instalar universidades en el municipio,,
Medicamento gratisQuitar alimentos procesados ya que no son saludables,Telebachillerato en el rincon,,
se atienda sin retrision,Apoyar a toida persona no importa su situacion sexual,,
Clinicas  enla comunidad las 24 horas los 365 dias,Aumentar presupuesto a la educacionIncrementar las opciones en las carreras tecnicas,,
Creacion de talleres para la autosuficiencia y plantando arboles ,Presupuesto en mantenimiento de las escuelas,,
Tener mas comedores comunitarios,La educacion mas eficas y una escuela digna,,
Que haiga medicos en la comunidad,Mayor capacitacion a maestros,,
Por una canasta basica,Apoyo con trasporte a los  alumnos,,
Comedores saludables en las escuelas,Quitar el lenguaje inclusivo,,
Que ya no se venda tanta chatarra ,Equipar con maestros comprometidos de servir,,
No den medicamedntos caducos,Universidaes mas cercas de los municipios,,
Terminar hospitales abandonados ,Que regrese la letra con sangre entra ,,
,recostruir los valores de la familia,,
,Tener mayor estrutura ,,
,Mayores apoyos a la comunidad,,
,Mas escuelas,,
,Becas para las universidaes al 100,,
,,,
"1.	Que se dé importancia a la salud mental de la población para que os ciudadanos sean más plenos.","1.	Que se revisen las cuentas de la aportación voluntaria, ya que cada año sube y no inscriben a los niños.","1.	Hacer proyectos culturales para eliminar la violencia contralas mujeres ","1. Abrir empleos para las personas de la diversidad, así como crear oficinas o direcciones en cada municipio de diversidad sexual"
"2.	Que en los centros de salud los doctores sean capacitados ","2.	Retirar el uso obligatorio de uniformes ","2.	Que haya empleos mejor pagados ","2.	Mas foros de información en escuelas y espacios públicos para que la gente no sea tan inhumana"
